feature,importance
country,7
owner_age,808
attitude_stable_business_environment,206
attitude_worried_shutdown,162
compliance_income_tax,63
perception_insurance_doesnt_cover_losses,224
perception_cannot_afford_insurance,162
personal_income,808
business_expenses,843
business_turnover,956
business_age_years,664
motor_vehicle_insurance,66
has_mobile_money,27
current_problem_cash_flow,148
has_cellphone,64
owner_sex,94
offers_credit_to_customers,173
attitude_satisfied_with_achievement,13
has_credit_card,189
keeps_financial_records,50
perception_insurance_companies_dont_insure_businesses_like_yours,45
perception_insurance_important,25
has_insurance,235
covid_essential_service,166
attitude_more_successful_next_year,16
problem_sourcing_money,126
marketing_word_of_mouth,92
has_loan_account,140
has_internet_banking,11
has_debit_card,47
future_risk_theft_stock,124
business_age_months,360
medical_insurance,57
funeral_insurance,174
motivation_make_more_money,179
uses_friends_family_savings,132
uses_informal_lender,23
profit_margin,700
financial_access_score,621
